Address,Type,Time,Tx_id,BTC value,New_column
3DR2iGGQCUhShGhjTqShLAYEqxzAfY8pvZ,Received,12/04/2024,8720069ea4937b3810e26cac38618ddfedc587f1c712bcf71a7d7402f525e1c4,5000,
3PdKaWwshFBWg6vAauToecqEAFtsuzyxGV,Sent,12/04/2024,8720069ea4937b3810e26cac38618ddfedc587f1c712bcf71a7d7402f525e1c4,4978.105677,
1GvhUteQ1WPb9jG142CjJJmKbaEmQFzuZN,Sent,11/04/2024,1915a5b5c7eb225de7080b2f07c44ed259892db6969b6ec43ff0e437edcbf2fc,4739.825901,
3MqUP6G1daVS5YTD8fz3QgwjZortWwxXFd,Received,11/04/2024,1915a5b5c7eb225de7080b2f07c44ed259892db6969b6ec43ff0e437edcbf2fc,4739.820901,
147t6NXZUHAWppZLvvMUUpXuf1GHPZg9qX,Sent,11/04/2024,f4336a77518aae2392f73ca02bf89c7f72e6036cabb60e32f7c8d94949af5e8b,4535.725084,
3MqUP6G1daVS5YTD8fz3QgwjZortWwxXFd,Received,11/04/2024,f4336a77518aae2392f73ca02bf89c7f72e6036cabb60e32f7c8d94949af5e8b,4535.720084,
bc1qwhyxc9ksvapfl9u6sr6uxjl92qj25zc608zefj,Received,10/04/2024,217fe8263ae3a75db6503d310b6c94b5a68ca817fce1a30bad5f5d7b9ab645cb,12318.99501,
bc1qqmff2pgjraleqajcq7f9a6jnwe3h8e2fg63z63,Sent,10/04/2024,1e8246343b31a75317e105367b03a95739bc6c1ab59a422f18ba59fc681328e8,14318.99532,
bc1q0dua0xml09c0vd4w9gsgtkww8a2txq7vj9pv3c,Sent,10/04/2024,217fe8263ae3a75db6503d310b6c94b5a68ca817fce1a30bad5f5d7b9ab645cb,13318.99517,
bc1q0dua0xml09c0vd4w9gsgtkww8a2txq7vj9pv3c,Received,10/04/2024,1e8246343b31a75317e105367b03a95739bc6c1ab59a422f18ba59fc681328e8,13318.99517,
bc1qu99nlc5zmj5e2cg7kxldkm647ah4u46n5v7en2,Sent,10/04/2024,d21e107897ea348f74f3bd513d79c9787a8bea86fbcecb4e74d376bfb2b7684c,14318.99664,
bc1qetcjehhhegfqvlkqnv2h87su0zt47yps4arfa3,Received,10/04/2024,d21e107897ea348f74f3bd513d79c9787a8bea86fbcecb4e74d376bfb2b7684c,14318.99598,
bc1qetcjehhhegfqvlkqnv2h87su0zt47yps4arfa3,Sent,10/04/2024,92e6c73c9519db356976d88d819dd36090987919dfac24c8709ca0ef8015e1a3,14318.99598,
