date,total_volume
2023-09-24,5839.9996046
2023-09-25,6154.36102313
2023-09-25,6158.86074013
2023-09-26,6092.41031009
2023-09-26,6154.36141913
2023-09-27,5834.99912022
2023-09-27,5844.9996046
2023-09-28,3872.99998698
2023-09-28,3873
2023-09-28,3873.00005867
2023-09-28,4100
2023-09-28,4100.00009188
2023-09-28,4704.37966249
2023-09-28,4808.38020276
2023-09-28,5784.9992086
2023-09-28,5834.9996046
2023-09-28,12824.9760272
2023-09-28,12949.9765861
2023-09-29,6999
2023-09-29,6999.00019125
2023-09-29,7498.993
2023-09-29,7498.99380325
2023-09-30,4000
2023-09-30,4017.492
2023-09-30,12699.9762429
2023-09-30,12824.9765861
2023-10-02,4895.36943392
2023-10-02,5000
2023-10-02,5794.99930652
2023-10-02,5844.9996046
2023-10-02,6172.18675573
2023-10-02,6175.00829849
2023-10-02,9895.36977012
2023-10-03,5764.9992614
2023-10-03,5794.9996046
2023-10-04,5740
2023-10-04,6000
2023-10-04,6048.0684917
2023-10-04,6756.98041711
2023-10-04,6770.52473088
2023-10-04,7955.75562727
2023-10-04,8636.25374774
2023-10-04,8636.25601007
2023-10-04,9338.05601007
2023-10-05,4000
2023-10-05,4000.00016425
2023-10-05,7257.53568007
2023-10-05,7955.75601007
2023-10-06,6698.54927042
2023-10-06,6703.67116171
2023-10-07,14999.68609966
2023-10-08,5754.99919474
2023-10-08,5774.9996046
2023-10-09,5600
2023-10-10,5000
2023-10-10,5744.9993406
2023-10-10,5754.9996046
2023-10-10,6333.33090285
2023-10-10,6337.36225444
2023-10-10,6863.23183419
2023-10-10,7363.23204539
2023-10-10,7654.95553823
2023-10-10,8254.05601007
2023-10-11,4000
2023-10-11,4500.00010359
2023-10-11,5000.0004203
2023-10-11,5529.21575927
2023-10-11,6255.35577247
2023-10-11,6255.35601007
2023-10-11,6950.45579887
2023-10-11,6950.45601007
2023-10-11,7654.95601007
2023-10-11,9315.18416085
2023-10-11,9775.04529461
2023-10-12,4114.06579887
2023-10-12,4838.31579887
2023-10-12,4838.31601007
2023-10-12,5529.21601007
2023-10-13,4114.06601007
2023-10-13,6363.23178139
2023-10-13,6863.23204539
2023-10-16,5809.99901096
2023-10-16,5839.9996046
2023-10-16,6414.16345055
2023-10-16,6429.64024061
2023-10-17,5794.9993538
2023-10-17,5809.9996046
2023-10-17,12892.73574421
2023-10-17,12932.73659156
2023-10-18,5052.46309939
2023-10-18,5119.9088941
2023-10-18,5564.999897
2023-10-18,5754.9993538
2023-10-18,5779.9993538
2023-10-18,5779.9996046
2023-10-18,5794.9996046
2023-10-18,6541.64711784
2023-10-18,6544.83701175
2023-10-18,6552.46312877
2023-10-18,6756.97948831
2023-10-18,6756.97967311
2023-10-18,6756.97996351
2023-10-18,6756.98081311
2023-10-18,7708.02533701
2023-10-18,8052.46315815
2023-10-18,8353.12651007
2023-10-18,12845.73634076
2023-10-18,12892.73659156
2023-10-19,5724.9993934
2023-10-19,5744.9993274
2023-10-19,5744.9996046
2023-10-19,5754.9996046
2023-10-20,4000
2023-10-20,4000.00005129
2023-10-20,5574.9993802
2023-10-20,5634.9993934
2023-10-20,5634.9996046
2023-10-20,5684.9993274
2023-10-20,5684.9996046
2023-10-20,5704.9992878
2023-10-20,5704.9996046
2023-10-20,5724.9996046
2023-10-20,12794.27629348
2023-10-20,12883.27659156
2023-10-22,5534.999433
2023-10-22,5574.9996046
2023-10-23,5524.999433
2023-10-23,5534.9996046
2023-10-23,5999.99963234
2023-10-23,6264.999897
2023-10-23,6769.99847021
2023-10-23,6769.998595
2023-10-23,9883.57594676
