date,price,forecasted_price
2022-11-24,16609.12,30030.416544960216984760
2022-11-25,16505.71,30045.495428670991314760
2022-11-26,16562.38,30060.574312381765644760
2022-11-27,16547.26,30075.653196092539974760
2022-11-28,16214.90,30090.732079803314304760
2022-11-29,16414.56,30105.810963514088634760
2022-11-30,16931.08,30120.889847224862964760
2022-12-01,17086.01,30135.968730935637294760
2022-12-02,16993.65,30151.047614646411624760
2022-12-03,16996.99,30166.126498357185954760
2022-12-04,17032.92,30181.205382067960284760
2022-12-05,17174.65,30196.284265778734614760
2022-12-06,17004.77,30211.363149489508944760
2022-12-07,16889.09,30226.442033200283274760
2022-12-08,16934.39,30241.520916911057604760
2022-12-09,17194.85,30256.599800621831934760
2022-12-10,17167.92,30271.678684332606264760
2022-12-11,17157.96,30286.757568043380594760
2022-12-12,17006.60,30301.836451754154924760
2022-12-13,17464.48,30316.915335464929254760
2022-12-14,17882.34,30331.994219175703584760
2022-12-15,17582.74,30347.073102886477914760
2022-12-16,17106.47,30362.151986597252244760
2022-12-17,16702.48,30377.230870308026574760
2022-12-18,16743.79,30392.309754018800904760
2022-12-19,16691.25,30407.388637729575234760
2022-12-20,16789.59,30422.467521440349564760
2022-12-21,16836.35,30437.546405151123894760
2022-12-22,16787.48,30452.625288861898224760
2022-12-23,16833.83,30467.704172572672554760
2022-12-24,16838.68,30482.783056283446884760
2022-12-25,16823.61,30497.861939994221214760
2022-12-26,16854.51,30512.940823704995544760
2022-12-27,16809.02,30528.019707415769874760
2022-12-28,16638.27,30543.098591126544204760
2022-12-29,16595.28,30558.177474837318534760
2022-12-30,16550.98,30573.256358548092864760
2022-12-31,16570.76,30588.335242258867194760
2023-01-01,16560.69,30603.414125969641524760
2023-01-02,16691.73,30618.493009680415854760
2023-01-03,16687.90,30633.571893391190184760
2023-01-04,16828.56,30648.650777101964514760
2023-01-05,16831.48,30663.729660812738844760
2023-01-06,16831.96,30678.808544523513174760
2023-01-07,16942.43,30693.887428234287504760
2023-01-08,16954.77,30708.966311945061834760
2023-01-09,17245.82,30724.045195655836164760
2023-01-10,17296.20,30739.124079366610494760
2023-01-11,17455.06,30754.202963077384824760
2023-01-12,18342.29,30769.281846788159154760
2023-01-13,19081.19,30784.360730498933484760
2023-01-14,20809.53,30799.439614209707814760
2023-01-15,20779.40,30814.518497920482144760
2023-01-16,21032.61,30829.597381631256474760
2023-01-17,21201.99,30844.676265342030804760
2023-01-18,21129.35,30859.755149052805134760
2023-01-19,20861.22,30874.834032763579464760
2023-01-20,21313.09,30889.912916474353794760
2023-01-21,22893.25,30904.991800185128124760
2023-01-22,22807.04,30920.070683895902454760
2023-01-23,22843.13,30935.149567606676784760
2023-01-24,22972.94,30950.228451317451114760
2023-01-25,22709.95,30965.307335028225444760
2023-01-26,23083.33,30980.386218738999774760
2023-01-27,23005.66,30995.465102449774104760
2023-01-28,23027.63,31010.543986160548434760
2023-01-29,23446.51,31025.622869871322764760
2023-01-30,23300.81,31040.701753582097094760
2023-01-31,22973.06,31055.780637292871424760
2023-02-01,23186.78,31070.859521003645754760
2023-02-02,23806.63,31085.938404714420084760
2023-02-03,23488.79,31101.017288425194414760
2023-02-04,23398.80,31116.096172135968744760
2023-02-05,23203.17,31131.175055846743074760
2023-02-06,22915.72,31146.253939557517404760
2023-02-07,22994.03,31161.332823268291734760
2023-02-08,23092.65,31176.411706979066064760
2023-02-09,22563.15,31191.490590689840394760
2023-02-10,21785.18,31206.569474400614724760
2023-02-11,21713.27,31221.648358111389054760
2023-02-12,21879.95,31236.727241822163384760
2023-02-13,21692.55,31251.806125532937714760
2023-02-14,21926.78,31266.885009243712044760
2023-02-15,22687.20,31281.963892954486374760
2023-02-16,24608.74,31297.042776665260704760
2023-02-17,24024.00,31312.121660376035034760
2023-02-18,24607.24,31327.200544086809364760
2023-02-19,24647.40,31342.279427797583694760
2023-02-20,24645.03,31357.358311508358024760
2023-02-21,24675.81,31372.437195219132354760
2023-02-22,24027.82,31387.516078929906684760
2023-02-23,24147.72,31402.594962640681014760
2023-02-24,23635.39,31417.673846351455344760
2023-02-25,23063.88,31432.752730062229674760
2023-02-26,23266.47,31447.831613773004004760
2023-02-27,23452.58,31462.910497483778334760
2023-02-28,23399.34,31477.989381194552664760
2023-03-01,23589.34,31493.068264905326994760
2023-03-02,23424.42,31508.147148616101324760
2023-03-03,22457.43,31523.226032326875654760
2023-03-04,22350.59,31538.304916037649984760
2023-03-05,22455.78,31553.383799748424314760
2023-03-06,22431.62,31568.462683459198644760
2023-03-07,22345.72,31583.541567169972974760
2023-03-08,22066.94,31598.620450880747304760
2023-03-09,21442.24,31613.699334591521634760
2023-03-10,19985.51,31628.778218302295964760
2023-03-11,20259.05,31643.857102013070294760
2023-03-12,20680.89,31658.935985723844624760
2023-03-13,23080.88,31674.014869434618954760
2023-03-14,24857.58,31689.093753145393284760
2023-03-15,24680.15,31704.172636856167614760
2023-03-16,24796.57,31719.251520566941944760
2023-03-17,26425.00,31734.330404277716274760
2023-03-18,27492.46,31749.409287988490604760
2023-03-19,27594.88,31764.488171699264934760
2023-03-20,28042.46,31779.567055410039264760
2023-03-21,28129.64,31794.645939120813594760
2023-03-22,28213.27,31809.724822831587924760
2023-03-23,27940.19,31824.803706542362254760
2023-03-24,28112.11,31839.882590253136584760
2023-03-25,27651.93,31854.961473963910914760
2023-03-26,27844.69,31870.040357674685244760
2023-03-27,27601.10,31885.119241385459574760
2023-03-28,27062.36,31900.198125096233904760
2023-03-29,28116.38,31915.277008807008234760
2023-03-30,28397.41,31930.355892517782564760
2023-03-31,28218.30,31945.434776228556894760
2023-04-01,28487.08,31960.513659939331224760
2023-04-02,28326.01,31975.592543650105554760
2023-04-03,28029.19,31990.671427360879884760
2023-04-04,28099.65,32005.750311071654214760
2023-04-05,28360.88,32020.829194782428544760
2023-04-06,28022.70,32035.908078493202874760
2023-04-07,27957.72,32050.986962203977204760
2023-04-08,28020.87,32066.065845914751534760
2023-04-09,28038.89,32081.144729625525864760
2023-04-10,28607.77,32096.223613336300194760
2023-04-11,30130.59,32111.302497047074524760
2023-04-12,30031.13,32126.381380757848854760
2023-04-13,30235.73,32141.460264468623184760
2023-04-14,30609.54,32156.539148179397514760
2023-04-15,30408.46,32171.618031890171844760
2023-04-16,30333.84,32186.696915600946174760
2023-04-17,29722.67,32201.775799311720504760
2023-04-18,29945.92,32216.854683022494834760
2023-04-19,29574.03,32231.933566733269164760
2023-04-20,28693.33,32247.012450444043494760
2023-04-21,27977.03,32262.091334154817824760
2023-04-22,27438.30,32277.170217865592154760
2023-04-23,27594.20,32292.249101576366484760
2023-04-24,27497.35,32307.327985287140814760
2023-04-25,27536.72,32322.406868997915144760
2023-04-26,28872.69,32337.485752708689474760
2023-04-27,29163.58,32352.564636419463804760
