week,weekly_volume
2023-08-13,396073.63
2023-08-14,534342.88
2023-08-15,535285.50
2023-08-16,524857.63
2023-08-17,532281.38
2023-08-18,577281.88
2023-08-19,434201.00
2023-08-20,391404.66
2023-08-21,431948.25
2023-08-22,488046.00
2023-08-23,506148.25
2023-08-24,458719.22
2023-08-25,469817.94
2023-08-26,418734.03
2023-08-27,351217.34
2023-08-28,441841.78
2023-08-29,566760.00
2023-08-30,525512.50
2023-08-31,713356.31
2023-09-01,676459.00
2023-09-02,600815.19
2023-09-03,515435.16
2023-09-04,576761.31
2023-09-05,627847.25
2023-09-07,815142.00
2023-09-08,931500.94
2023-09-09,841472.25
2023-09-10,1212629.63
2023-09-11,832353.88
2023-09-12,803450.06
2023-09-13,812362.63
2023-09-14,817360.50
2023-09-15,864615.13
2023-09-16,709168.56
2023-09-17,751082.13
2023-09-18,1256409.00
2023-09-19,1269217.25
2023-09-20,1285804.50
2023-09-21,1266672.75
2023-09-22,1223696.00
2023-09-23,1370766.63
2023-09-24,984878.13
2023-09-25,874087.81
2023-09-26,725263.56
2023-09-27,835124.06
2023-09-28,773595.94
2023-09-29,791149.19
2023-09-30,581398.00
2023-10-01,514314.41
2023-10-02,765348.38
2023-10-03,798886.56
2023-10-04,725593.19
2023-10-05,737649.56
2023-10-06,1179628.13
2023-10-07,1159202.25
2023-10-08,429922.03
2023-10-09,549524.06
2023-10-10,473658.75
2023-10-11,582961.75
2023-10-12,662612.69
2023-10-13,593093.69
2023-10-14,365966.09
2023-10-15,306960.28
2023-10-16,576898.44
2023-10-17,552719.13
2023-10-18,542620.13
2023-10-19,532083.38
2023-10-20,593381.75
2023-10-21,478406.59
2023-10-22,370304.84
2023-10-23,528006.31
2023-10-24,1304147.25
2023-10-25,1405040.88
2023-10-26,999037.38
2023-10-27,866743.88
2023-10-28,662511.50
2023-10-29,466153.78
2023-10-30,624341.75
2023-10-31,627843.06
2023-11-01,743662.63
2023-11-02,810124.94
2023-11-03,1141570.38
2023-11-04,2765102.00
2023-11-05,2499186.50
2023-11-06,2604454.50
2023-11-07,3084162.00
2023-11-08,4178296.50
2023-11-09,9090023.00
2023-11-10,6045403.50
2023-11-11,4243101.00
2023-11-12,4295375.50
2023-11-13,3970376.75
2023-11-14,3672896.25
2023-11-15,4889238.50
2023-11-16,11726871.00
2023-11-17,8967552.00
2023-11-18,11565090.00
2023-11-19,7345058.50
2023-11-20,6628374.00
2023-11-21,6407568.50
2023-11-23,8260940.00
2023-11-24,3682365.25
2023-11-25,3480892.00
2023-11-26,3050565.75
2023-11-27,3323177.00
2023-11-28,2947429.00
2023-11-29,2415780.75
2023-11-30,2664544.50
2023-12-01,3796932.75
2023-12-02,2476779.25
2023-12-03,5612791.50
2023-12-04,6233056.50
2023-12-05,10031171.00
2023-12-06,12884765.00
2023-12-07,7589356.00
2023-12-08,6662442.00
2023-12-09,6169571.50
2023-12-10,5033696.50
2023-12-11,5747946.50
2023-12-12,4721459.50
2023-12-13,8231873.50
2023-12-14,14322047.00
2023-12-15,17892704.00
2023-12-16,23708558.00
2023-12-17,23053940.00
2023-12-18,16168895.00
2023-12-19,18623586.00
2023-12-20,18443758.00
2023-12-21,17734470.00
2023-12-22,14220451.00
2023-12-23,8866332.00
2023-12-24,7809907.00
2023-12-25,7322344.50
2023-12-26,7166504.00
2023-12-27,11538505.00
2023-12-28,9958021.00
2023-12-29,8971252.00
2023-12-30,11141433.00
2023-12-31,15041563.00
2024-01-01,9391838.00
2024-01-02,6449560.00
2024-01-03,6415891.50
2024-01-04,5549412.50
2024-01-06,3828634.75
2024-01-07,3365347.00
2024-01-08,5661269.00
2024-01-09,5234322.50
2024-01-10,3845820.25
2024-01-11,4714831.00
2024-01-12,4858754.50
2024-01-13,5436210.00
2024-01-14,9360193.00
2024-01-15,5000927.00
2024-01-16,5333894.50
2024-01-17,4463942.00
2024-01-18,5121839.00
2024-01-19,3470756.50
2024-01-20,3002254.75
2024-01-21,2983663.25
2024-01-22,3096215.75
2024-01-23,3479597.00
2024-01-24,2416850.75
2024-01-25,2562855.50
2024-01-26,2269335.50
2024-01-27,2433457.25
2024-01-28,2348878.00
2024-01-29,2368093.25
2024-01-30,2241860.00
2024-01-31,2141501.00
2024-02-02,2830641.00
2024-02-03,7634473.00
2024-02-04,4220067.00
2024-02-05,2772086.50
2024-02-06,2280237.50
2024-02-07,3160847.00
2024-02-08,2380589.00
2024-02-09,2556394.75
2024-02-10,1951759.13
2024-02-11,1380542.00
2024-02-12,3303321.50
2024-02-13,2351384.50
2024-02-14,2756047.75
2024-02-15,2008033.75
2024-02-16,1708333.38
2024-02-17,1493785.13
2024-02-18,1279617.00
2024-02-19,1519884.13
2024-02-20,1648345.88
2024-02-21,1622142.88
2024-02-22,1456017.88
2024-02-23,1574602.50
2024-02-24,1328894.25
2024-02-25,1255661.75
2024-02-26,1695338.50
2024-02-27,2726746.25
2024-02-28,3588889.25
2024-02-29,4667996.50
2024-03-01,3666035.25
2024-03-02,2604714.25
2024-03-03,2872741.25
2024-03-04,5440123.50
2024-03-05,6845201.50
2024-03-06,4461999.50
2024-03-07,3487323.00
2024-03-08,3258094.00
2024-03-09,2783338.75
2024-03-11,2926048.00
2024-03-12,2764310.75
2024-03-13,2592654.75
2024-03-14,2429157.25
2024-03-15,2546524.00
2024-03-16,2614725.75
2024-03-17,1712894.00
2024-03-18,2830073.00
2024-03-19,2957251.25
2024-03-20,2132638.75
2024-03-21,2533305.75
2024-03-22,2424173.50
2024-03-23,1586875.75
2024-03-24,1387988.38
2024-03-25,1926028.25
2024-03-26,2229570.75
2024-03-27,2110906.00
2024-03-28,2126428.25
2024-03-29,2052531.50
2024-03-30,2091845.25
2024-03-31,1976385.38
