address,in_out,time,tx_id,value
1Pzaqw98PeRfyHypfqyEgg5yycJRsENrE7,1,2023-12-26 10:12:19,4a9f31e53fd5b85146f41bf9260e6d001dfc1e81fe00930a4ee40531b15e7fab,30000.0
1JrFAUp3KP3ez8187EJCJXL9mTc3iuiuxX,-1,2023-09-15 15:04:52,66e75ebd1ab0ef9b4eab615908403983e2bd0874804c884ab7d321ce381be9dc,12949.9765861
1E5qk8Fs8FZPs3gSXRwxyiHAnzMy6xt39d,-1,2023-10-17 14:15:17,bdc882e35f0efc5f7aa37bb4b0075fe29ca7447deb14fed1dedd77f8f62217ef,12932.73659156
19xhDpqBZUzuSbibYqaMj7TtPsj7BZyxL5,1,2023-09-15 15:04:52,66e75ebd1ab0ef9b4eab615908403983e2bd0874804c884ab7d321ce381be9dc,12899.97282986
1AzSRRMJsfauASGMf7oBmpwzDjwnxbgVL8,-1,2023-10-18 09:08:50,c9e9fe152ac823e11ecd0a9078224af1f653690a3571e5b881311f776daa80a4,12892.73659156
1AzSRRMJsfauASGMf7oBmpwzDjwnxbgVL8,1,2023-10-17 14:15:17,bdc882e35f0efc5f7aa37bb4b0075fe29ca7447deb14fed1dedd77f8f62217ef,12892.73574421
bc1q66dqar552z4lx7l699telqntadc6jpvlxwersz,-1,2024-02-14 21:07:18,ada36ec63de74e666cde75128b61b4f3e9cd0d57421f432d5519104a3aab77f6,12886.59799675
bc1q66dqar552z4lx7l699telqntadc6jpvlxwersz,1,2024-02-14 20:08:01,116d465ad2f3e8195b73413e62fee88a6f37a662d8deff5b8e9c500df230db37,12886.59786827
1Fs4YXjhyqudQfcJ5pyqJJZPGzY7SLoxSk,-1,2023-10-20 15:11:32,83eb97852548c55ffb19b438f518549893134006d765c3af213c2464e23f093f,12883.27659156
1E1Pde6Tb9qRbvS4jK6Ln3Ytu9KiX35QH6,-1,2023-05-12 19:29:35,7cfc79bfe88660951c0bb2f142d31e056f215ae0a87322002df0ee1b55e0f985,12863.23213873
1E1Pde6Tb9qRbvS4jK6Ln3Ytu9KiX35QH6,1,2023-05-11 23:28:49,5ddc69789772c7e3e3b506786141f7eb9f0d37aad2b4a6ae2d348ea14f8444b9,12863.22401605
1Fs4YXjhyqudQfcJ5pyqJJZPGzY7SLoxSk,1,2023-10-18 09:08:50,c9e9fe152ac823e11ecd0a9078224af1f653690a3571e5b881311f776daa80a4,12845.73634076
3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6,-1,2023-06-19 09:54:17,ae0d9885cd3d688e0293d50af8bdf873e14d94d0240e854fa7592cff20bc2e41,12826.33200666
17AqqUte5kcgVG88GG5G4yTrb8NeZeafaE,-1,2023-09-30 15:22:31,27bcd97aa329dcfc33108d102bcbec28108fbfcbf45c21bf9f2201deecd3f92f,12824.9765861
17AqqUte5kcgVG88GG5G4yTrb8NeZeafaE,1,2023-09-28 10:06:26,c53fa73ac889df81bd229caa8637b20d5024f7ea2d43ea7a5a1b4dcc247e9c53,12824.9760272
1H1cZjbuX4erfLqVMRfZx2tFbyCLnnBJ9m,-1,2023-10-23 15:35:20,7bd09736e04df4082ddba6d09626210e91504de0ea361e17541531fb27ba3a82,12794.27659156
1H1cZjbuX4erfLqVMRfZx2tFbyCLnnBJ9m,1,2023-10-20 15:11:32,83eb97852548c55ffb19b438f518549893134006d765c3af213c2464e23f093f,12794.27629348
151ib3insWguasZwE5vCD2Ha3LECXCwYEE,-1,2023-10-28 15:28:36,ff5b4e7195b71283ce36f9f89828d667b6e10b397e4cc00d4b28e86e8eb31c74,12786.19659156
